Sent,Received,Returned,Frames,Nodes
3831856603222,3832003499547,3832018208160,12,17
3831861669740,3831918167781,3832068709190,12,17
3831866734720,3831884772351,3832077719868,12,17
3831871797794,3831906663147,3832083642439,12,17
3831876879606,3832035038941,3832088710920,12,17
3831881944646,3831916784220,3832094098526,12,17
3831887006607,3832083966550,3832099162410,12,17
3831892070477,3831986787676,3832104228746,12,17
3831897132311,3831907257567,3832109293777,12,17
3831902192245,3832099145861,3832121580098,12,17
3831907251499,3832121591381,3832130869127,12,17
3831912310697,3832078926738,3832145947426,12,17
