Sent,Received,Returned,Frames,Nodes
2578514003469,2578671373764,2578746632647,11,20
2578532559100,2578555234440,2578761584664,11,20
2578537630149,2578560313079,2578769475480,11,20
2578542698459,2578622656552,2578774539930,11,20
2578547771060,2578736496078,2578780901610,11,20
2578552839042,2578612744985,2578786891876,11,20
2578557909171,2578759358516,2578791962138,11,20
2578562981170,2578764424410,2578797876291,11,20
2578568049805,2578784351394,2578802947052,11,20
2578573117634,2578711428983,2578916507983,11,20
2578578191154,2578779626981,2578921579339,11,20
