Sent,Received,Returned,Frames,Nodes
2237544023268,2237605702648,2237626073737,13,12
2237549100283,2237600582821,2237631144531,13,12
2237554164618,2237610758334,2237636214840,13,12
2237559232609,2237584131528,2237641343216,13,12
2237564294410,2237631158434,2237646739751,13,12
2237569361134,2237593611210,2237651909205,13,12
2237578709316,2237603739809,2237658763009,13,12
2237584122973,2237648514992,2237663912975,13,12
2237589651227,2237641356556,2237668985266,13,12
2237594717235,2237613900788,2237674120867,13,12
2237599787242,2237646313199,2237679245805,13,12
2237604854882,2237618971876,2237684367731,13,12
2237609954529,2237674025674,2237689477445,13,12
