Sent,Received,Returned,Frames,Nodes
2303672657483,2303774041727,2303887492284,21,18
2303677790727,2303773637072,2303899856355,21,18
2303682870694,2303800752855,2303904921115,21,18
2303687932899,2303884599233,2303910035866,21,18
2303693010944,2303788842510,2303915104158,21,18
2303703557769,2303884588728,2303920147792,21,18
2303708626440,2303764820837,2303925271929,21,18
2303714158628,2303919773760,2303935484880,21,18
2303720025321,2303834808252,2303940582084,21,18
2303728443062,2303774967633,2303945742006,21,18
2303733525704,2303844933276,2303950824399,21,18
2303738593227,2303886667973,2303955936041,21,18
2303744576465,2303891731858,2303961015050,21,18
2303750084355,2303896797840,2303966085104,21,18
2303755176403,2303882040617,2303971160443,21,18
2303760235567,2303834749136,2303976218895,21,18
2303765297987,2303892169553,2303981297832,21,18
2303770361047,2303971094705,2303986345061,21,18
2303778424127,2303968537489,2303991460081,21,18
2303792355284,2303973604613,2303996557691,21,18
2303799170485,2303838160357,2304001678634,21,18
