Sent,Received,Returned,Frames,Nodes
2241704698760,2241757305430,2241854847872,28,12
2241709779329,2241782844619,2241860059038,28,12
2241714855293,2241767478891,2241865197651,28,12
2241719934326,2241782873476,2241870291005,28,12
2241725024511,2241758779911,2241875444537,28,12
2241731724726,2241803480562,2241880578975,28,12
2241737844901,2241754317826,2241885741316,28,12
2241747046331,2241808726667,2241890918180,28,12
2241752250076,2241823966335,2241895987476,28,12
2241757339270,2241769520893,2241901183883,28,12
2241762438426,2241834229442,2241906294027,28,12
2241767531349,2241818808498,2241911629808,28,12
2241772629492,2241818796573,2241916756475,28,12
2241777754003,2241823944649,2241922071458,28,12
2241782826300,2241829059431,2241927141946,28,12
2241787905994,2241823869756,2241932257215,28,12
2241793242905,2241819936367,2241937385628,28,12
2241798566469,2241810682793,2241942500447,28,12
2241803693835,2241870318414,2241947651770,28,12
2241808754758,2241865172721,2241952737466,28,12
2241813816412,2241890877828,2241957833603,28,12
2241818878998,2241845521975,2241962944196,28,12
2241823955705,2241836305655,2241968054485,28,12
2241829015672,2241880554201,2241973161842,28,12
2241834214621,2241846538407,2241978270314,28,12
2241839417303,2241890844443,2241983383099,28,12
2241844619377,2241916598112,2241988467054,28,12
2241849720893,2241916665865,2241993559286,28,12
