Sent,Received,Returned,Frames,Nodes
774180655951,774200671720,774236525732,11,9
774185732355,774200686880,774241654614,11,9
774190800412,774231433348,774246853369,11,9
774195894247,774241727440,774252198592,11,9
774200967123,774231367266,774257364164,11,9
774206029889,774236461250,774262477486,11,9
774211096810,774226152437,774267574815,11,9
774216161814,774262513183,774272697496,11,9
774221238466,774252120796,774277983298,11,9
774226326785,774252168749,774283148345,11,9
774231390983,774239633722,774288318380,11,9
