Sent,Received,Returned,Frames,Nodes
1387999156956,1388009444605,1388055673562,11,4
1388004296183,1388009484441,1388060805333,11,4
1388009497559,1388019752271,1388065951449,11,4
1388014621281,1388024945284,1388071125235,11,4
1388019722768,1388030078997,1388076241202,11,4
1388024902055,1388030065920,1388081360879,11,4
1388030053904,1388035192833,1388086496781,11,4
1388035172422,1388045482355,1388091572515,11,4
1388040311641,1388045469710,1388096722304,11,4
1388045453708,1388055716201,1388101852330,11,4
1388050585112,1388065965480,1388106929647,11,4
