Sent,Received,Returned,Frames,Nodes
1479719991829,1479791258912,1479864392396,28,16
1479725113248,1479769605522,1479869597027,28,16
1479730194506,1479745556426,1479874784942,28,16
1479735340829,1479740431607,1479879959409,28,16
1479740467772,1479816891958,1479885109383,28,16
1479745540052,1479822034896,1479890246569,28,16
1479752051783,1479794924176,1479895406556,28,16
1479757146066,1479842365609,1479900565162,28,16
1479762221420,1479837360183,1479905727524,28,16
1479767297695,1479862880649,1479910893228,28,16
1479772382395,1479830905015,1479916036617,28,16
1479777456969,1479841213084,1479921122220,28,16
1479782530526,1479857642323,1479926196592,28,16
1479787597946,1479868058688,1479931245372,28,16
1479792665833,1479851343629,1479936384469,28,16
1479797727468,1479888444037,1479941505160,28,16
1479802789464,1479866968135,1479946704640,28,16
1479807863669,1479851328636,1479951811687,28,16
1479812925286,1479872186119,1479956974957,28,16
1479818109358,1479838206108,1479962141986,28,16
1479823194834,1479866961722,1479967338449,28,16
1479828291943,1479833531576,1479972461089,28,16
1479833506199,1479924306224,1479977637870,28,16
1479838723985,1479882597165,1479982771604,28,16
1479843790942,1479895451007,1479987937495,28,16
1479848857114,1479944768449,1479993095022,28,16
1479854097051,1479929371632,1479998264830,28,16
1479859323568,1479910877973,1480003518727,28,16
