Sent,Received,Returned,Frames,Nodes
2225092717989,2225154739176,2225214632710,24,10
2225097823193,2225139440803,2225219712918,24,10
2225102897838,2225125752982,2225224791162,24,10
2225107970205,2225159826702,2225229865362,24,10
2225113048084,2225135893068,2225234962101,24,10
2225118126971,2225164995296,2225240032718,24,10
2225123200846,2225159853459,2225245100041,24,10
2225128270210,2225164946410,2225250165673,24,10
2225133347433,2225175104385,2225255252723,24,10
2225138421665,2225151917643,2225260336045,24,10
2225143502723,2225190361303,2225265404845,24,10
2225148583693,2225185216004,2225270495934,24,10
2225153652787,2225167169403,2225275568574,24,10
2225158725085,2225215450093,2225280642958,24,10
2225163796459,2225177327362,2225285711146,24,10
2225168901460,2225199298308,2225290780471,24,10
2225173996349,2225230699242,2225295852392,24,10
2225179091559,2225209439916,2225300924704,24,10
2225184191788,2225240885311,2225305990651,24,10
2225189260121,2225253171508,2225311055909,24,10
2225194326357,2225263751132,2225316120954,24,10
2225199404701,2225256091811,2225321204781,24,10
2225204482300,2225261163597,2225326270161,24,10
2225209555064,2225266232247,2225331335741,24,10
