Sent,Received,Returned,Frames,Nodes
2219120893265,2219158210681,2219259452963,27,9
2219126051285,2219143559438,2219264629770,27,9
2219131138517,2219174764480,2219269807404,27,9
2219136246252,2219174717911,2219274927554,27,9
2219141359565,2219184943198,2219280100247,27,9
2219146471645,2219195185289,2219285269667,27,9
2219151616891,2219200344598,2219290447268,27,9
2219156721663,2219200267847,2219295564332,27,9
2219161824274,2219184826429,2219300737803,27,9
2219166946315,2219184638421,2219305921246,27,9
2219172062720,2219195111087,2219311101817,27,9
2219177161381,2219220912716,2219316277976,27,9
2219182304789,2219205347133,2219321421386,27,9
2219187464037,2219220815132,2219326583931,27,9
2219192571082,2219231011586,2219331743535,27,9
2219197703211,2219241334612,2219336910174,27,9
2219202814809,2219246537006,2219342069712,27,9
2219207938115,2219230956270,2219347231268,27,9
2219213080343,2219230742014,2219352355278,27,9
2219218223835,2219227760957,2219357498814,27,9
2219223328496,2219246614651,2219362622148,27,9
2219228474551,2219272651903,2219367767661,27,9
2219233630887,2219243184643,2219372845873,27,9
2219238779984,2219267362264,2219377966147,27,9
2219243928212,2219293375216,2219383158129,27,9
2219249079115,2219298527037,2219388261844,27,9
2219254281122,2219263761947,2219393334269,27,9
