Sent,Received,Returned,Frames,Nodes
2270397261316,2270464642413,2270558766473,29,15
2270402568681,2270469743531,2270563897373,29,15
2270407693089,2270474863530,2270568994390,29,15
2270413124735,2270485072394,2270574175660,29,15
2270422477558,2270500824243,2270579258185,29,15
2270427635954,2270485144009,2270584396067,29,15
2270432720512,2270472298385,2270589710325,29,15
2270437797807,2270505993326,2270594845258,29,15
2270442944024,2270469723828,2270599940762,29,15
2270454372762,2270521873054,2270605074646,29,15
2270459468864,2270516853644,2270610204656,29,15
2270464630419,2270521917808,2270615401975,29,15
2270469727815,2270538305269,2270620550161,29,15
2270474848649,2270479977637,2270625656645,29,15
2270480005606,2270553781018,2270630797982,29,15
2270485084490,2270548609899,2270635914644,29,15
2270490435370,2270500851318,2270641040645,29,15
2270495802512,2270574219802,2270646165534,29,15
2270500875986,2270528935271,2270651310538,29,15
2270506093617,2270539161710,2270656684755,29,15
2270511328489,2270594771408,2270661751436,29,15
2270516822660,2270569036876,2270666870462,29,15
2270521989071,2270549376607,2270672006267,29,15
2270528176559,2270605037380,2270677147179,29,15
2270533349156,2270569837116,2270682284651,29,15
2270538410908,2270594702358,2270687655154,29,15
2270543520202,2270620543772,2270692781460,29,15
2270548643450,2270569024292,2270698046839,29,15
2270553691748,2270630890539,2270703143105,29,15
