Sent,Received,Returned,Frames,Nodes
8818801048899,8818806144067,8818914769311,22,6
8818806128860,8818821452860,8818919932125,22,6
8818811203035,8818831797664,8818925104275,22,6
8818816417698,8818826648122,8818930283876,22,6
8818821502788,8818842073549,8818935459638,22,6
8818826617697,8818831742398,8818940624451,22,6
8818831717911,8818852394402,8818945913141,22,6
8818836883775,8818847211790,8818951138897,22,6
8818842052095,8818862788054,8818956222206,22,6
8818847200432,8818852457427,8818961330315,22,6
8818852375675,8818873087453,8818966473423,22,6
8818857590571,8818883551928,8818971616015,22,6
8818862829083,8818888758809,8818976802951,22,6
8818867948333,8818888816688,8818981919329,22,6
8818873305323,8818888683250,8818987110853,22,6
8818878427082,8818904449841,8818992218469,22,6
8818883650770,8818909737133,8818997341286,22,6
8818888832792,8818909697551,8819002580525,22,6
8818894053418,8818914943737,8819007731677,22,6
8818899361987,8818904535648,8819012888835,22,6
8818904482517,8818930399174,8819018030074,22,6
8818909650401,8818920242252,8819023138662,22,6
