Sent,Received,Returned,Frames,Nodes
19265118808262,19265250522123,19265265977354,26,20
19265123995125,19265233278460,19265280856677,26,20
19265129141664,19265197624753,19265286300245,26,20
19265134298820,19265202761858,19265291453317,26,20
19265139501756,19265218492012,19265296617443,26,20
19265144658411,19265184659588,19265301707998,26,20
19265149828414,19265297144175,19265307381486,26,20
19265154985138,19265232938787,19265312649627,26,20
19265160126670,19265239359372,19265317810871,26,20
19265165267844,19265290943317,19265323041843,26,20
19265170409047,19265192461675,19265328282089,26,20
19265175545473,19265210167163,19265333503924,26,20
19265180693943,19265245307547,19265338717541,26,20
19265185826243,19265316524046,19265343851746,26,20
19265190963258,19265343107584,19265349007536,26,20
19265196128032,19265290823101,19265354224885,26,20
19265201255548,19265217997858,19265359369219,26,20
19265206377480,19265325216872,19265364524938,26,20
19265211517214,19265289395201,19265369657135,26,20
19265216669408,19265325315704,19265374807453,26,20
19265227981654,19265330401155,19265379924236,26,20
19265233423392,19265378745791,19265385063706,26,20
19265239439276,19265326708795,19265390180459,26,20
19265245157356,19265265632609,19265395341896,26,20
19265250286615,19265377711469,19265400468801,26,20
19265255496251,19265275898175,19265405605952,26,20
