Sent,Received,Returned,Frames,Nodes
8893260666352,8893346130314,8893361355726,13,16
8893265743896,8893308629185,8893368934244,13,16
8893270810383,8893313688329,8893374490197,13,16
8893275871149,8893323818451,8893379573942,13,16
8893280934653,8893290221651,8893384737894,13,16
8893285996385,8893325727562,8893389815981,13,16
8893291063790,8893351190574,8893395600338,13,16
8893296126691,8893341012638,8893400670149,13,16
8893301188783,8893374272673,8893405747746,13,16
8893306253557,8893315538662,8893410821121,13,16
8893311317430,8893371573830,8893415906097,13,16
8893316382048,8893371571441,8893420992792,13,16
8893321506456,8893348688044,8893426072506,13,16
