Sent,Received,Returned,Frames,Nodes
8820361545062,8820382233591,8820504766666,28,6
8820366644970,8820387321065,8820509880955,28,6
8820371754126,8820382167777,8820515020790,28,6
8820376951587,8820382120325,8820520108358,28,6
8820382078286,8820397525077,8820525185893,28,6
8820387213048,8820412857909,8820530314548,28,6
8820392297973,8820417945791,8820535474459,28,6
8820397415703,8820423028462,8820540661304,28,6
8820402540840,8820412802439,8820545893413,28,6
8820407608708,8820417867983,8820551085727,28,6
8820412699751,8820428107594,8820556251833,28,6
8820417820637,8820433195215,8820561439532,28,6
8820422908952,8820433231950,8820566678214,28,6
8820428057641,8820443427856,8820571821429,28,6
8820433145409,8820444544408,8820577036701,28,6
8820438274006,8820443711269,8820582177958,28,6
8820443382884,8820459857407,8820587327779,28,6
8820448519607,8820464979517,8820592461315,28,6
8820453636211,8820464950807,8820597593236,28,6
8820458774777,8820464166465,8820602754094,28,6
8820463899924,8820485466221,8820607909419,28,6
8820469036880,8820495662183,8820613072343,28,6
8820474178790,8820479475490,8820618198363,28,6
8820479239562,8820490573042,8820623384609,28,6
8820484330936,8820489624546,8820628507036,28,6
8820489452075,8820494697707,8820633654242,28,6
8820494572308,8820521265556,8820638741695,28,6
8820499659497,8820511110897,8820643864383,28,6
