Sent,Received,Returned,Frames,Nodes
8824263500071,8824288873741,8824381457933,23,7
8824268570139,8824278734892,8824386699431,23,7
8824273632957,8824295835506,8824391772819,23,7
8824278698490,8824301039839,8824396909933,23,7
8824283767823,8824316477504,8824402123366,23,7
8824288833948,8824301030502,8824407323249,23,7
8824293958241,8824299102233,8824412516277,23,7
8824299029041,8824316551052,8824417686132,23,7
8824304129468,8824321624798,8824422887537,23,7
8824309352469,8824342080701,8824427998790,23,7
8824314449800,8824337010363,8824433182429,23,7
8824319568109,8824331744185,8824438356313,23,7
8824324789512,8824347228737,8824443642798,23,7
8824330003071,8824347232307,8824448860489,23,7
8824335109888,8824362536441,8824454011538,23,7
8824340249561,8824345482648,8824459228388,23,7
8824345446858,8824367665269,8824464442618,23,7
8824350517579,8824362354109,8824469647157,23,7
8824355682473,8824367455166,8824474849646,23,7
8824360915793,8824383019559,8824480029472,23,7
8824366150520,8824382821921,8824485174703,23,7
8824371256140,8824382793138,8824490294922,23,7
8824376357558,8824381439826,8824495450563,23,7
