Sent,Received,Returned,Frames,Nodes
1985980616506,1986023518427,1986185220241,28,18
1985985683635,1986065566887,1986196906731,28,18
1985990745669,1986169846381,1986203777639,28,18
1985995809905,1986169838511,1986208808652,28,18
1986000877908,1986057320411,1986214701551,28,18
1986005944256,1986113847244,1986224335380,28,18
1986011009306,1986179933335,1986229414995,28,18
1986016070762,1986133923983,1986234443641,28,18
1986027450330,1986209599895,1986239473903,28,18
1986032522427,1986062156209,1986244587426,28,18
1986037593194,1986088560145,1986249697379,28,18
1986042664244,1986231017054,1986254740253,28,18
1986047731363,1986121252281,1986259866281,28,18
1986052799135,1986215478697,1986264928404,28,18
1986057870604,1986224323540,1986270023601,28,18
1986062939118,1986191773212,1986275087446,28,18
1986068005746,1986256422811,1986280149608,28,18
1986073076771,1986261447024,1986285223311,28,18
1986078142313,1986219000904,1986290307554,28,18
1986083215640,1986193585681,1986295369577,28,18
1986088285677,1986276709669,1986300450767,28,18
1986093355212,1986269953820,1986305526742,28,18
1986098424902,1986174656633,1986310576303,28,18
1986103497086,1986292025872,1986315667204,28,18
1986108568641,1986285176937,1986320795936,28,18
1986113636836,1986269332133,1986325883372,28,18
1986118711710,1986237813221,1986330970751,28,18
1986123811413,1986295262689,1986336066255,28,18
