Sent,Received,Returned,Frames,Nodes
1224859778164,1224869942569,1224972071164,22,3
1224864848841,1224869951732,1224977177091,22,3
1224869960355,1224880162774,1224982311249,22,3
1224875038820,1224880156591,1224987412205,22,3
1224880129614,1224890355002,1224992536471,22,3
1224885204571,1224895457631,1224997629376,22,3
1224890309569,1224895477489,1225002745020,22,3
1224895409247,1224905669836,1225007856447,22,3
1224900513110,1224910736882,1225012998241,22,3
1224905578827,1224910711891,1225018215117,22,3
1224910688643,1224915783311,1225023284782,22,3
1224915809788,1224926027529,1225028410243,22,3
1224920901533,1224926021669,1225033507409,22,3
1224925988765,1224936226409,1225038734423,22,3
1224931108114,1224936218922,1225043964527,22,3
1224936234212,1224941326311,1225049229976,22,3
1224941317653,1224946397668,1225054440284,22,3
1224946402351,1224956650608,1225059609208,22,3
1224951499227,1224961764619,1225064793156,22,3
1224956642561,1224961778667,1225069955592,22,3
1224961771861,1224972029454,1225075146949,22,3
1224966891453,1224971990272,1225080326853,22,3
