Sent,Received,Returned,Frames,Nodes
1276648645550,1276712919299,1276754989444,17,12
1276653734150,1276743831490,1276760059255,17,12
1276658800614,1276743846174,1276765136401,17,12
1276663865091,1276726673445,1276770203063,17,12
1276668929595,1276689190531,1276775264333,17,12
1276673994439,1276764450735,1276780333792,17,12
1276679058637,1276710682393,1276785429350,17,12
1276684132643,1276774820599,1276790515745,17,12
1276695460672,1276748936920,1276795584302,17,12
1276700538456,1276728415898,1276800657351,17,12
1276719446723,1276734679851,1276805727223,17,12
1276724523531,1276769722461,1276810815816,17,12
1276729594333,1276790235989,1276815879361,17,12
1276734662155,1276790243504,1276820960323,17,12
1276739731016,1276774541854,1276826041423,17,12
1276744825466,1276815814869,1276831134326,17,12
1276749920455,1276800464145,1276836208323,17,12
