Sent,Received,Returned,Frames,Nodes
1287330223788,1287430669015,1287452348172,24,13
1287335313080,1287419099734,1287457498708,24,13
1287340399139,1287352209728,1287462620115,24,13
1287345485876,1287446603418,1287467690849,24,13
1287350580322,1287415324550,1287472793297,24,13
1287355656374,1287425522246,1287477915179,24,13
1287360737540,1287372482702,1287483017087,24,13
1287365814742,1287440752572,1287488124227,24,13
1287370991993,1287376190214,1287493227047,24,13
1287376074706,1287482161266,1287498329114,24,13
1287381149664,1287476546190,1287503462011,24,13
1287386216312,1287456145659,1287508582570,24,13
1287391288981,1287471467839,1287513670539,24,13
1287396360475,1287486860502,1287518757077,24,13
1287401431456,1287491986011,1287523827094,24,13
1287406502099,1287512545431,1287528904445,24,13
1287411573856,1287512477609,1287533980259,24,13
1287416644146,1287492019814,1287539082397,24,13
1287421715926,1287517460988,1287544189851,24,13
1287426817398,1287491972097,1287549289653,24,13
1287431905838,1287512389935,1287554399932,24,13
1287437016804,1287532689689,1287559501616,24,13
1287442138132,1287542915461,1287564571862,24,13
1287447259763,1287517484291,1287569699298,24,13
