Sent,Received,Returned,Frames,Nodes
1268020663674,1268045471774,1268106731357,12,11
1268025740123,1268044610339,1268111880777,12,11
1268030811372,1268060674998,1268116947331,12,11
1268035883719,1268106684224,1268122023373,12,11
1268040956575,1268100914903,1268127189907,12,11
1268046025690,1268122037357,1268132507406,12,11
1268051097924,1268111069031,1268137653851,12,11
1268056170364,1268122139437,1268142717286,12,11
1268061242819,1268086000490,1268147833133,12,11
1268066316100,1268142646344,1268152923288,12,11
1268071385106,1268090271376,1268158013462,12,11
1268076455175,1268095383056,1268163103301,12,11
