Sent,Received,Returned,Frames,Nodes
3082762420925,3082767556309,3082891554292,25,3
3082767608264,3082778121048,3082896759349,25,3
3082772840772,3082778194174,3082901916008,25,3
3082778096978,3082783336479,3082907137213,25,3
3082783365067,3082788471982,3082912398131,25,3
3082788579208,3082793715516,3082917490777,25,3
3082793750691,3082804050004,3082922697212,25,3
3082798913508,3082804093446,3082927858015,25,3
3082804024965,3082814380514,3082933069995,25,3
3082809186936,3082814340880,3082938235516,25,3
3082814296611,3082819499270,3082943497393,25,3
3082819476548,3082829798821,3082948700351,25,3
3082824612726,3082834939967,3082953953140,25,3
3082829741153,3082834898332,3082959213307,25,3
3082834852510,3082845238263,3082964397346,25,3
3082840020016,3082845266415,3082969649177,25,3
3082845135178,3082855595202,3082974854202,25,3
3082850283774,3082855510392,3082980055294,25,3
3082855478474,3082860673704,3082985340679,25,3
3082860703092,3082871113672,3082990511534,25,3
3082865824689,3082871023223,3082995665189,25,3
3082870992130,3082876145369,3083000883084,25,3
3082876205708,3082881302925,3083006154121,25,3
3082881327939,3082891546746,3083011336825,25,3
3082886461611,3082896735456,3083016544907,25,3
