Sent,Received,Returned,Frames,Nodes
3188245104803,3188351752614,3188443151239,22,17
3188251504857,3188305573991,3188449626237,22,17
3188257036350,3188315702985,3188454723968,22,17
3188262106130,3188310627366,3188459794652,22,17
3188267534996,3188432881009,3188464952975,22,17
3188272603137,3188453273061,3188470038466,22,17
3188277673218,3188426249362,3188475123241,22,17
3188283625337,3188426253304,3188480221379,22,17
3188288669253,3188473873146,3188485328205,22,17
3188293735223,3188351735442,3188490435852,22,17
3188298803320,3188478753996,3188495517391,22,17
3188303867246,3188361866560,3188500618779,22,17
3188308930484,3188457475050,3188505721806,22,17
3188314001626,3188499169350,3188510838721,22,17
3188319066045,3188504227024,3188515950864,22,17
3188326053399,3188449881778,3188521052796,22,17
3188331125293,3188421123250,3188526147214,22,17
3188336196812,3188426195284,3188531238569,22,17
3188341262366,3188498945764,3188536346997,22,17
3188346323899,3188514391442,3188541446625,22,17
3188351394127,3188467596375,3188546549021,22,17
3188356457534,3188446458544,3188551610138,22,17
