Sent,Received,Returned,Frames,Nodes
3096063004803,3096073345980,3096150374500,17,6
3096068179667,3096088952697,3096155538194,17,6
3096073362014,3096094060753,3096160689635,17,6
3096078601097,3096099333270,3096165849797,17,6
3096083684645,3096099453614,3096170979765,17,6
3096088847505,3096109725319,3096176130661,17,6
3096093996862,3096119934099,3096181280017,17,6
3096099151907,3096114881714,3096186401952,17,6
3096104252525,3096125140594,3096191510084,17,6
3096109370489,3096135371536,3096196691093,17,6
3096114555362,3096119746894,3096201838718,17,6
3096119676014,3096124878639,3096207029150,17,6
3096124774417,3096140577063,3096212224242,17,6
3096129863133,3096135097533,3096217402580,17,6
3096134959979,3096156024051,3096222619555,17,6
3096140092118,3096145366243,3096227831000,17,6
3096145243559,3096171406179,3096232987059,17,6
