Sent,Received,Returned,Frames,Nodes
1765200591463,1765257672641,1765289163340,17,13
1765205666209,1765252504509,1765294263424,17,13
1765210735433,1765283184635,1765299372832,17,13
1765215819954,1765293424861,1765304603168,17,13
1765220888688,1765232606122,1765309707418,17,13
1765227524060,1765283107629,1765314770830,17,13
1765232595985,1765271754616,1765319854673,17,13
1765237664367,1765303473677,1765324933449,17,13
1765243383725,1765313728940,1765330140553,17,13
1765248458186,1765323943293,1765335331387,17,13
1765253526174,1765313744079,1765340410720,17,13
1765258590920,1765268756574,1765345566783,17,13
1765263655899,1765273872698,1765350774834,17,13
1765268729358,1765339355725,1765355925114,17,13
1765273789393,1765344521190,1765361034876,17,13
1765278851990,1765304621928,1765366160253,17,13
1765283943394,1765294271908,1765371346228,17,13
