Sent,Received,Returned,Frames,Nodes
1500416623093,1500504525091,1500643994534,17,18
1500421716057,1500633848576,1500649060863,17,18
1500426780164,1500577570593,1500654131117,17,18
1500431844013,1500451735653,1500659196250,17,18
1500436904898,1500456796617,1500664271774,17,18
1500441964694,1500474446006,1500669362408,17,18
1500447024382,1500540013790,1500679437760,17,18
1500452084169,1500679450028,1500689678929,17,18
1500457143985,1500657069984,1500694749343,17,18
1500462206571,1500508017701,1500699810083,17,18
1500467272879,1500694624521,1500704870283,17,18
1500472338268,1500492220988,1500709931335,17,18
1500477400635,1500593128215,1500714981804,17,18
1500482465541,1500608319337,1500720890105,17,18
1500487529958,1500541223688,1500725955712,17,18
1500492592814,1500538391436,1500731019734,17,18
1500497655742,1500543444900,1500736085059,17,18
