Sent,Received,Returned,Frames,Nodes
3256442305190,3256457761515,3256580224993,27,5
3256447460963,3256467997024,3256586377631,27,5
3256452582862,3256473058772,3256591527591,27,5
3256457687910,3256473010506,3256596684468,27,5
3256462766447,3256478128988,3256601886174,27,5
3256467866788,3256478118351,3256607105237,27,5
3256472984078,3256493403515,3256612210733,27,5
3256478106997,3256488318836,3256617404637,27,5
3256483195396,3256498491775,3256622500395,27,5
3256488248734,3256508666119,3256627601959,27,5
3256493352640,3256503605953,3256632671903,27,5
3256498429729,3256518923154,3256637770925,27,5
3256503505156,3256523980991,3256642909451,27,5
3256508615619,3256523944748,3256647986744,27,5
3256513729861,3256534211944,3256653105279,27,5
3256518845576,3256529092495,3256658288264,27,5
3256523949421,3256529069102,3256663440934,27,5
3256529075857,3256544486219,3256668492618,27,5
3256534241844,3256539372914,3256673615121,27,5
3256539343036,3256544468924,3256678714697,27,5
3256544457712,3256564873001,3256683794140,27,5
3256549564833,3256554648792,3256688881546,27,5
3256554666602,3256559765640,3256693999689,27,5
3256559785921,3256564915365,3256699076243,27,5
3256564900771,3256575157114,3256704186487,27,5
3256569998176,3256590488514,3256709281441,27,5
3256575134560,3256580236117,3256714408949,27,5
