Sent,Received,Returned,Frames,Nodes
3250166174777,3250171389915,3250278989598,22,4
3250171340925,3250181695942,3250284156354,22,4
3250176505169,3250181628557,3250289346414,22,4
3250181661265,3250197167427,3250294536813,22,4
3250186833165,3250192032106,3250299728259,22,4
3250191981890,3250207394740,3250305067336,22,4
3250197133137,3250202330526,3250310192063,22,4
3250202285028,3250217642827,3250315414148,22,4
3250207453875,3250212564572,3250320592398,22,4
3250212568379,3250222750995,3250325865926,22,4
3250217671696,3250227866401,3250331084435,22,4
3250222771787,3250238117001,3250336495938,22,4
3250227857221,3250233012362,3250341678226,22,4
3250232994456,3250243232979,3250346894555,22,4
3250238083093,3250253411909,3250352085232,22,4
3250243187148,3250253451455,3250357354461,22,4
3250248266125,3250253444817,3250362546960,22,4
3250253337609,3250263624963,3250367710479,22,4
3250258402757,3250273927956,3250372909135,22,4
3250263617717,3250268765508,3250378150663,22,4
3250268682152,3250284276780,3250383312155,22,4
3250273903616,3250284179691,3250388456041,22,4
