Sent,Received,Returned,Frames,Nodes
3318585242923,3318618992886,3318741493815,30,14
3318590342498,3318639397225,3318746613777,30,14
3318595442492,3318654850634,3318751704774,30,14
3318603260207,3318665383063,3318756793985,30,14
3318608339064,3318639459920,3318761928035,30,14
3318613409743,3318680861446,3318767106220,30,14
3318618482771,3318660217129,3318772260997,30,14
3318623551243,3318670533838,3318777419061,30,14
3318628618986,3318644510609,3318782582153,30,14
3318633682720,3318649623189,3318787701983,30,14
3318638801318,3318690951982,3318792863091,30,14
3318643922982,3318685817286,3318798052711,30,14
3318648989034,3318716612591,3318803227499,30,14
3318654208474,3318711435419,3318808334777,30,14
3318659520707,3318680756172,3318813504354,30,14
3318664590268,3318711390024,3318818672367,30,14
3318669778889,3318726685044,3318823864871,30,14
3318675003159,3318716500627,3318829164586,30,14
3318680101276,3318726714326,3318834338123,30,14
3318685201391,3318706260101,3318839536989,30,14
3318690287235,3318726711735,3318844742690,30,14
3318695388666,3318747510530,3318850048575,30,14
3318700489025,3318711299673,3318855228480,30,14
3318705591723,3318757746444,3318860351040,30,14
3318710791130,3318742048040,3318865686380,30,14
3318715865243,3318783672663,3318870827343,30,14
3318721001054,3318757795920,3318876243030,30,14
3318726155903,3318762899267,3318881445028,30,14
3318731266680,3318757570765,3318886553032,30,14
3318736347950,3318783639294,3318891716543,30,14
