Sent,Received,Returned,Frames,Nodes
3908663513330,3908686898367,3908804263196,27,6
3908671449588,3908697048227,3908809332611,27,6
3908676669881,3908681845755,3908814431204,27,6
3908681772063,3908692020789,3908819506470,27,6
3908686844809,3908707389776,3908824587636,27,6
3908691943695,3908717598720,3908829666505,27,6
3908697043257,3908718433483,3908834750417,27,6
3908702172760,3908713289236,3908839818896,27,6
3908707348433,3908723492417,3908844895688,27,6
3908712473977,3908723466958,3908849999333,27,6
3908717559476,3908733688710,3908855109644,27,6
3908722684280,3908743909507,3908860214408,27,6
3908727787927,3908743840675,3908865343924,27,6
3908732896684,3908748947026,3908870475118,27,6
3908738007470,3908754048430,3908875579496,27,6
3908743117591,3908748201127,3908880681767,27,6
3908748221538,3908775018384,3908885786507,27,6
3908753350573,3908769970944,3908890899873,27,6
3908758444345,3908769963482,3908895980811,27,6
3908763529790,3908780110098,3908901178093,27,6
3908768632917,3908795368181,3908906286656,27,6
3908773711338,3908780074587,3908911389456,27,6
3908778793830,3908790295056,3908916609887,27,6
3908783914910,3908810739980,3908921720965,27,6
3908788991535,3908815902533,3908926788779,27,6
3908794061358,3908810796377,3908931889512,27,6
3908799164702,3908810749002,3908937089115,27,6
