Sent,Received,Returned,Frames,Nodes
1673829140679,1673974980859,1674034639048,15,19
1673834201801,1673946671931,1674039706723,15,19
1673839263903,1673985119354,1674044776562,15,19
1673844338262,1673980156757,1674049844209,15,19
1673849399747,1673941292617,1674054910883,15,19
1673854462593,1673979703587,1674059975000,15,19
1673859525808,1673946346780,1674065039864,15,19
1673864586209,1674029566375,1674070105001,15,19
1673869648637,1673969566328,1674075169130,15,19
1673874714775,1673993643795,1674084062913,15,19
1673879775896,1673979693023,1674089126857,15,19
1673884839211,1673956173940,1674094191466,15,19
1673889903855,1673989816229,1674099254640,15,19
1673894964996,1674054871963,1674104319924,15,19
1673900028694,1673951402408,1674109383265,15,19
