Sent,Received,Returned,Frames,Nodes
1560153995712,1560174586300,1560287940871,26,6
1560159105828,1560164258126,1560293276009,26,6
1560164212975,1560174456808,1560298449210,26,6
1560169349254,1560184647171,1560303662980,26,6
1560174556676,1560195040946,1560309051829,26,6
1560179670703,1560195027961,1560314288153,26,6
1560184743550,1560210493651,1560319545177,26,6
1560189864899,1560210419501,1560324690751,26,6
1560195161162,1560210479663,1560329810731,26,6
1560200229463,1560215553780,1560334971235,26,6
1560205315157,1560220628936,1560340243829,26,6
1560210438598,1560215515355,1560345413937,26,6
1560215488150,1560225669066,1560350547490,26,6
1560220570332,1560225662378,1560355682875,26,6
1560225652211,1560241040505,1560360809994,26,6
1560230775446,1560246188222,1560366008483,26,6
1560235881327,1560261661477,1560371207689,26,6
1560241019829,1560251420380,1560376662170,26,6
1560246169971,1560266975562,1560381788641,26,6
1560251305505,1560267030981,1560386885652,26,6
1560256502742,1560282650997,1560391990890,26,6
1560261738052,1560277550959,1560397131605,26,6
1560266905733,1560282662080,1560402339726,26,6
1560272184319,1560287835662,1560407478945,26,6
1560277633513,1560303612919,1560412572078,26,6
1560282776396,1560298344512,1560417894059,26,6
