Sent,Received,Returned,Frames,Nodes
1595942863482,1595967647228,1596015149946,14,12
1595947937631,1595983488087,1596020260987,14,12
1595953010536,1596004978928,1596025356289,14,12
1595958082210,1596027009881,1596032084707,14,12
1595963152309,1596022026861,1596037219003,14,12
1595968225168,1596027090652,1596042328187,14,12
1595973295424,1596006710200,1596047465575,14,12
1595978368029,1596016890743,1596052509649,14,12
1595983449396,1596047517232,1596057714691,14,12
1595988519616,1596042410379,1596062761601,14,12
1595993616898,1596062794869,1596067871380,14,12
1595998687388,1596047417672,1596072934339,14,12
1596003775287,1596052518360,1596077995860,14,12
1596008859122,1596067866746,1596083093245,14,12
