Sent,Received,Returned,Frames,Nodes
3522120615222,3522228945133,3522339041879,14,18
3522125715602,3522312510236,3522344112333,14,18
3522130790925,3522239504502,3522349200455,14,18
3522135857724,3522272585570,3522383319355,14,18
3522140919538,3522210297221,3522405772541,14,18
3522145982480,3522297589442,3522456341687,14,18
3522151044913,3522256433670,3522467468311,14,18
3522156108252,3522344579557,3522479447902,14,18
3522161171565,3522338585833,3522484518964,14,18
3522166237241,3522356641478,3522489592599,14,18
3522171305634,3522272503705,3522494664524,14,18
3522176370720,3522190530949,3522499736396,14,18
3522181435542,3522344102852,3522504805467,14,18
3522186499918,3522358821211,3522509877882,14,18
