Sent,Received,Returned,Frames,Nodes
3437063889047,3437106809803,3437125501410,12,9
3437069066260,3437111925188,3437130626506,12,9
3437074156127,3437111813615,3437135753024,12,9
3437079259094,3437106692244,3437140902586,12,9
3437084352267,3437122153851,3437146098178,12,9
3437089481889,3437094672674,3437151214138,12,9
3437094620859,3437104906724,3437156394977,12,9
3437099762324,3437104955939,3437161539790,12,9
3437104933643,3437147827657,3437166654508,12,9
3437110056699,3437137444018,3437171860322,12,9
3437115193112,3437158030870,3437177013061,12,9
3437120349795,3437125557246,3437182128598,12,9
