Sent,Received,Returned,Frames,Nodes
1811296560332,1811400955286,1811432061199,26,17
1811301633893,1811400997015,1811437186090,26,17
1811306691599,1811401004292,1811442278650,26,17
1811311759578,1811342196251,1811447351576,26,17
1811316830651,1811400915443,1811452411144,26,17
1811321899240,1811391389081,1811457486404,26,17
1811326970877,1811411268411,1811462634135,26,17
1811332041115,1811447124618,1811467721298,26,17
1811337115033,1811426639342,1811472939407,26,17
1811342186057,1811436860088,1811478200941,26,17
1811347256039,1811431715306,1811483273126,26,17
1811352332887,1811472953181,1811488338792,26,17
1811361140170,1811452238274,1811493459038,26,17
1811366208796,1811457447554,1811498532040,26,17
1811371272911,1811488256076,1811503607080,26,17
1811376334841,1811457423818,1811508712025,26,17
1811381417766,1811422828485,1811513784387,26,17
1811386506692,1811472969131,1811518928925,26,17
1811391566026,1811508715769,1811524059492,26,17
1811396624332,1811483165648,1811529329662,26,17
1811401686224,1811462610543,1811534451583,26,17
1811406759141,1811508729715,1811539560375,26,17
1811411820221,1811534694161,1811544778629,26,17
1811416883139,1811447521656,1811549886264,26,17
1811421943572,1811452582822,1811554988813,26,17
1811427002066,1811457643629,1811560174321,26,17
