Sent,Received,Returned,Frames,Nodes
2713314146641,2713445689210,2713463534531,17,18
2713319236510,2713461017997,2713473672450,17,18
2713324296069,2713394301987,2713496777397,17,18
2713329355738,2713339882191,2713504526542,17,18
2713334417216,2713370156937,2713510661791,17,18
2713339430077,2713439109758,2713517037036,17,18
2713344490578,2713414546124,2713522092272,17,18
2713349550516,2713522196035,2713527295048,17,18
2713354611831,2713527264187,2713532426187,17,18
2713359644449,2713370235108,2713537599958,17,18
2713364705194,2713517036712,2713542692395,17,18
2713369765359,2713511950770,2713547832643,17,18
2713374828453,2713542757006,2713552851363,17,18
2713379892301,2713468514967,2713557930403,17,18
2713384953508,2713412514993,2713563040215,17,18
2713390016290,2713532543082,2713568282602,17,18
2713395078823,2713491528662,2713573396045,17,18
