Sent,Received,Returned,Frames,Nodes
2624848678443,2624896916042,2625002581322,30,8
2624854891659,2624881617279,2625007735433,30,8
2624859978201,2624892059464,2625012807893,30,8
2624865063830,2624891758545,2625017925085,30,8
2624870148876,2624896840689,2625023039613,30,8
2624875275276,2624922669302,2625028145014,30,8
2624880362231,2624906988055,2625033223065,30,8
2624885448462,2624938001552,2625038301239,30,8
2624890603983,2624943182969,2625043383364,30,8
2624895670068,2624927554860,2625048461743,30,8
2624900744549,2624910923404,2625053541590,30,8
2624905845020,2624932445812,2625058657051,30,8
2624910934868,2624937538372,2625063751955,30,8
2624916019161,2624942604801,2625068867376,30,8
2624921115132,2624947673741,2625073968133,30,8
2624926239085,2624957915154,2625079067680,30,8
2624931321619,2624973736378,2625084141638,30,8
2624936393173,2624946616159,2625089255493,30,8
2624941475837,2624989068705,2625094369604,30,8
2624946581813,2624978175484,2625099462834,30,8
2624951653830,2624994171879,2625104531595,30,8
2624956730813,2625004320865,2625109643931,30,8
2624961833284,2625014521075,2625114735289,30,8
2624966954970,2625004230857,2625119836704,30,8
2624972078960,2625009309139,2625124911503,30,8
2624977173412,2625024714813,2625129995736,30,8
2624982244407,2625034892039,2625135105024,30,8
2624987314935,2625013752478,2625140186302,30,8
2624992416718,2625002611597,2625145268535,30,8
2624997503175,2625023932583,2625150344009,30,8
