Sent,Received,Returned,Frames,Nodes
2731723622265,2731787974545,2731875478638,26,19
2731728689880,2731748692885,2731880675055,26,19
2731733759704,2731844890379,2731885732067,26,19
2731738826866,2731875462257,2731892571792,26,19
2731743893177,2731794022767,2731897703261,26,19
2731748957579,2731875534380,2731902837935,26,19
2731754018663,2731880602402,2731907935871,26,19
2731759081136,2731897685232,2731913230938,26,19
2731764141238,2731907873533,2731918403939,26,19
2731769203550,2731844782201,2731923581313,26,19
2731774264605,2731918465509,2731928643126,26,19
2731781440123,2731875382505,2731933733362,26,19
2731788428604,2731900975199,2731938888681,26,19
2731794008804,2731865116233,2731944043350,26,19
2731799078620,2731944067549,2731949300574,26,19
2731804159903,2731949221717,2731954377074,26,19
2731809224760,2731900710985,2731959552630,26,19
2731814289203,2731921487771,2731964703613,26,19
2731819385512,2731954431118,2731969852699,26,19
2731824451463,2731885615115,2731974998622,26,19
2731829538445,2731969886327,2731980166246,26,19
2731834656329,2731844771183,2731985223991,26,19
2731839715569,2731900815048,2731990329619,26,19
2731844812656,2731860018519,2731995450300,26,19
2731849878346,2731995601302,2732000716931,26,19
2731854980591,2731967897228,2732005802458,26,19
