Sent,Received,Returned,Frames,Nodes
2666644643912,2666677540265,2666743483737,17,14
2666649714285,2666667390451,2666748586398,17,14
2666654790617,2666727771772,2666753669212,17,14
2666659861340,2666722145011,2666758758903,17,14
2666664930006,2666748137114,2666763851330,17,14
2666670002153,2666691437950,2666768944890,17,14
2666675073385,2666727072706,2666774053594,17,14
2666680140691,2666768853754,2666779128378,17,14
2666685212723,2666732175180,2666784190645,17,14
2666690283625,2666773503172,2666789254218,17,14
2666695352992,2666789230708,2666794319326,17,14
2666700426442,2666747489303,2666799382015,17,14
2666705506025,2666757842106,2666804458926,17,14
2666710587657,2666757965477,2666809558338,17,14
2666715676874,2666773194567,2666814680592,17,14
2666720778991,2666814633087,2666819787266,17,14
2666725867753,2666819727740,2666824892425,17,14
