Sent,Received,Returned,Frames,Nodes
2746042458974,2746277549680,2746315484390,22,20
2746051515081,2746316812271,2746347461529,22,20
2746056659927,2746261109929,2746352559148,22,20
2746061785327,2746073378271,2746424213195,22,20
2746066890560,2746411004776,2746470273301,22,20
2746071976166,2746176502172,2746475340434,22,20
2746077074781,2746266169334,2746480404807,22,20
2746082158241,2746412934170,2746485468827,22,20
2746087235715,2746439839626,2746490543295,22,20
2746092326342,2746316797488,2746495607708,22,20
2746097402273,2746179811054,2746503667457,22,20
2746102479838,2746381037287,2746512882454,22,20
2746107547749,2746173481243,2746517948787,22,20
2746112611158,2746237165938,2746523011865,22,20
2746117675095,2746264735215,2746528076849,22,20
2746122741281,2746334199734,2746533164351,22,20
2746127804814,2746188661374,2746539557694,22,20
2746132871422,2746262631373,2746547637518,22,20
2746137937779,2746484183266,2746552697256,22,20
2746143004286,2746515838701,2746557758364,22,20
2746148066193,2746297767831,2746564246202,22,20
2746153130022,2746366855253,2746569345352,22,20
