Sent,Received,Returned,Frames,Nodes
4558026639855,4558141697393,4558199358810,33,3
4558026398729,4558141657476,4558199496060,33,3
4558026532554,4558084621298,4558199613650,33,3
4558031812940,4558146851841,4558204667004,33,3
4558031577486,4558146898308,4558204806363,33,3
4558031704910,4558089820832,4558204918560,33,3
4558036996066,4558095211739,4558210003966,33,3
4558036861622,4558152026458,4558210127840,33,3
4558036958626,4558095000504,4558210316581,33,3
4558042212900,4558157162681,4558215263204,33,3
4558042165606,4558157186068,4558215450295,33,3
4558042239766,4558100146276,4558215556185,33,3
4558047534361,4558105424355,4558220560512,33,3
4558047605144,4558162462926,4558220708471,33,3
4558047684001,4558162325133,4558220827730,33,3
4558052837887,4558167643556,4558225830044,33,3
4558052884063,4558110490388,4558225962151,33,3
4558052931989,4558167715195,4558226195954,33,3
4558058305320,4558172960921,4558231194224,33,3
4558058372617,4558115795654,4558231385942,33,3
4558058245949,4558173020326,4558231468100,33,3
4558063697953,4558178387770,4558236395930,33,3
4558063827783,4558178315048,4558236617595,33,3
4558063727423,4558120821717,4558236741741,33,3
4558068952677,4558183748323,4558241669899,33,3
4558069052586,4558183697123,4558241956964,33,3
4558069094023,4558183572480,4558242050158,33,3
4558074192262,4558188975292,4558246918700,33,3
4558074403266,4558131256239,4558247260467,33,3
4558074333008,4558131347536,4558247330404,33,3
4558079408829,4558194231031,4558252186056,33,3
4558079667300,4558194179380,4558252526801,33,3
4558079606364,4558194055608,4558252660106,33,3
