Sent,Received,Returned,Frames,Nodes
8924269220444,8924428196725,8924433269883,29,18
8924280660995,8924336675168,8924438527629,29,18
8924285728131,8924407809163,8924443651486,29,18
8924290793931,8924324909786,8924448915071,29,18
8924295859762,8924332087967,8924454301628,29,18
8924300930185,8924404440435,8924459394092,29,18
8924305991471,8924367097016,8924464636208,29,18
8924311055866,8924443647447,8924469697028,29,18
8924316117513,8924332649776,8924474871786,29,18
8924321183788,8924418766924,8924480116361,29,18
8924326244759,8924464530253,8924485185062,29,18
8924331304593,8924434972027,8924490251916,29,18
8924336370098,8924474918246,8924495281576,29,18
8924341431171,8924402620924,8924500462902,29,18
8924346491967,8924444523889,8924505603005,29,18
8924351559022,8924412802453,8924510686041,29,18
8924356620960,8924442183806,8924515866048,29,18
8924361681231,8924471142004,8924520948467,29,18
8924366746179,8924515841862,8924526032835,29,18
8924371807884,8924433170268,8924531222671,29,18
8924376873639,8924515824485,8924536517909,29,18
8924381990042,8924480676457,8924541627899,29,18
8924387056230,8924473471271,8924546831711,29,18
8924392119341,8924409401270,8924551932819,29,18
8924397179816,8924488776031,8924557077745,29,18
8924402242211,8924541480240,8924562466784,29,18
8924407331539,8924546662127,8924567568583,29,18
8924412443565,8924522376249,8924572688034,29,18
8924417565730,8924509396029,8924577815203,29,18
