Sent,Received,Returned,Frames,Nodes
8840907240686,8840912347004,8840994459351,17,10
8840912325491,8840953575147,8840999563404,17,10
8840917423011,8840927811928,8841004906147,17,10
8840922531148,8840927701584,8841009987201,17,10
8840927683043,8840963819274,8841015201504,17,10
8840932834443,8840937995634,8841020517458,17,10
8840937978695,8840984309645,8841025614710,17,10
8840943117994,8840974019033,8841030747157,17,10
8840948232768,8840974032016,8841035855082,17,10
8840953388821,8840968869430,8841041182688,17,10
8840958589274,8840984371911,8841046304220,17,10
8840963742218,8840999887055,8841051492955,17,10
8840968828162,8840979064943,8841056668920,17,10
8840973946020,8841010132349,8841061793059,17,10
8840979054642,8840989290683,8841066906140,17,10
8840984195382,8841009900138,8841072028095,17,10
8840989326309,8841004830645,8841077160591,17,10
