Sent,Received,Returned,Frames,Nodes
4572030319515,4572040786110,4572092507238,12,6
4572030440730,4572061367876,4572092549308,12,6
4572030366127,4572051053812,4572092677309,12,6
4572030403643,4572071706062,4572092759133,12,6
4572030413227,4572061385653,4572092818610,12,6
4572030448036,4572071743279,4572092897065,12,6
4572035534051,4572066626556,4572097695479,12,6
4572035592571,4572056238803,4572097863351,12,6
4572035567369,4572087369515,4572097903276,12,6
4572035605377,4572076921546,4572097976436,12,6
4572035582940,4572087446512,4572098150959,12,6
4572035641254,4572056199017,4572098244303,12,6
