Sent,Received,Returned,Frames,Nodes
1064636217542,1064646599218,1064780473742,28,3
1064641378543,1064651707653,1064785753580,28,3
1064646561014,1064651692577,1064791025617,28,3
1064651731337,1064656883834,1064796266480,28,3
1064656859886,1064667238687,1064801474178,28,3
1064662071640,1064667273133,1064806706553,28,3
1064667247634,1064677544249,1064811913969,28,3
1064672355420,1064682698771,1064817111094,28,3
1064677444747,1064687780768,1064822282792,28,3
1064682581272,1064687763875,1064827486659,28,3
1064687676772,1064692905772,1064832686607,28,3
1064692783127,1064698002577,1064837877288,28,3
1064697901240,1064703152921,1064843042704,28,3
1064703044786,1064708285538,1064848212683,28,3
1064708177084,1064713440977,1064853384198,28,3
1064713288284,1064718525649,1064858543688,28,3
1064718416430,1064723596959,1064863719655,28,3
1064723509545,1064728668674,1064868894203,28,3
1064728598848,1064738948427,1064874029097,28,3
1064733731079,1064744093186,1064879217770,28,3
1064738902741,1064749321886,1064884398189,28,3
1064744069569,1064754569882,1064889592543,28,3
1064749298137,1064759699239,1064901304246,28,3
1064754513372,1064764897663,1064906424485,28,3
1064759752079,1064770034661,1064911544975,28,3
1064764948944,1064775260460,1064916674920,28,3
1064770075187,1064775231590,1064921827649,28,3
1064775291354,1064780518911,1064926985061,28,3
