Sent,Received,Returned,Frames,Nodes
1126440748938,1126484287493,1126583604223,28,13
1126445831609,1126517017374,1126588885211,28,13
1126450913736,1126547697761,1126594019224,28,13
1126455999887,1126504758118,1126599233033,28,13
1126461089113,1126475881515,1126604320384,28,13
1126466180769,1126514883519,1126609436639,28,13
1126471270371,1126547700094,1126614568733,28,13
1126476349559,1126542504349,1126619776183,28,13
1126481426967,1126547565835,1126624900388,28,13
1126486504547,1126552759571,1126629974484,28,13
1126491596956,1126513526819,1126635048602,28,13
1126496678341,1126531406160,1126640277657,28,13
1126501806551,1126573256316,1126645376884,28,13
1126506895795,1126588816452,1126650468970,28,13
1126511985042,1126588804133,1126655615009,28,13
1126517050354,1126593978497,1126660924953,28,13
1126522115876,1126566004203,1126666038485,28,13
1126527136941,1126604292210,1126671159699,28,13
1126532200234,1126581480711,1126676309460,28,13
1126537384141,1126619665584,1126681593434,28,13
1126542466732,1126609515018,1126686687559,28,13
1126547535166,1126582776309,1126691969064,28,13
1126552748282,1126640181401,1126697100319,28,13
1126557871488,1126602149722,1126702240533,28,13
1126562903547,1126640146598,1126707584873,28,13
1126567986499,1126612521720,1126712719131,28,13
1126573223090,1126608633106,1126717825975,28,13
1126578433930,1126613786954,1126722942715,28,13
