Sent,Received,Returned,Frames,Nodes
2785197995850,2785224896353,2785386793290,27,8
2785209897439,2785249258031,2785391872879,27,8
2785215162781,2785238958021,2785396953613,27,8
2785220456747,2785254422942,2785402030095,27,8
2785225669761,2785264726840,2785407107379,27,8
2785230843377,2785259567872,2785412188987,27,8
2785235996694,2785285813295,2785417265184,27,8
2785241100178,2785290959361,2785422337886,27,8
2785246256027,2785251754208,2785427466269,27,8
2785251365866,2785256906983,2785432558407,27,8
2785256520117,2785296833027,2785437635738,27,8
2785261627319,2785353015064,2785442711981,27,8
2785266744417,2785272231516,2785447809556,27,8
2785271875875,2785352972871,2785452889292,27,8
2785320509763,2785342807035,2785457964228,27,8
2785325719611,2785347880350,2785463040712,27,8
2785330933503,2785373329702,2785468120760,27,8
2785336056464,2785346707627,2785473243678,27,8
2785341137230,2785358056196,2785478315515,27,8
2785346211768,2785388526056,2785483380999,27,8
2785351288182,2785368196600,2785488488596,27,8
2785356357969,2785378391959,2785493564765,27,8
2785361424622,2785388563613,2785498666588,27,8
2785366503882,2785408865350,2785503734603,27,8
2785371575432,2785388497873,2785508834693,27,8
2785376645500,2785387231617,2785513935700,27,8
2785381719096,2785429210294,2785519035518,27,8
