Sent,Received,Returned,Frames,Nodes
2839807133540,2839880520375,2839932902758,22,15
2839812246422,2839922435937,2839937973077,22,15
2839817327582,2839837201515,2839943047853,22,15
2839822396656,2839878644105,2839948133058,22,15
2839827436175,2839922438940,2839953220030,22,15
2839832500975,2839932651945,2839958333045,22,15
2839837568463,2839868422011,2839963471200,22,15
2839842648268,2839862535606,2839968726849,22,15
2839847713365,2839921028557,2839973820264,22,15
2839852775995,2839860120451,2839978917257,22,15
2839857843329,2839942953297,2839983988223,22,15
2839862910126,2839882797174,2839989092276,22,15
2839867975267,2839875308825,2839994177471,22,15
2839873044609,2839994204809,2839999278616,22,15
2839878109501,2839885434690,2840004373981,22,15
2839883174127,2839939511912,2840009450058,22,15
2839888246136,2839994152887,2840014761518,22,15
2839893310171,2839983941684,2840019844055,22,15
2839898371723,2839994192530,2840024914636,22,15
2839903437788,2839976909773,2840029982777,22,15
2839908503296,2839981975424,2840035053317,22,15
2839913595710,2839998699144,2840040139477,22,15
