Sent,Received,Returned,Frames,Nodes
2817124712781,2817140016658,2817190753840,10,13
2817129794151,2817160304387,2817195874677,10,13
2817134856615,2817165364561,2817200946713,10,13
2817139918454,2817186724889,2817207063633,10,13
2817144979965,2817196894451,2817212181470,10,13
2817150044566,2817155115926,2817217305133,10,13
2817155110134,2817165281215,2817222411540,10,13
2817160216076,2817222384445,2817227435369,10,13
2817165283512,2817181603021,2817232646789,10,13
2817170347562,2817207142551,2817237703531,10,13
