Sent,Received,Returned,Frames,Nodes
1115446329737,1115487300572,1115551073561,20,12
1115451395415,1115510573715,1115556150769,20,12
1115456457564,1115487212228,1115561254407,20,12
1115461533407,1115478645408,1115566370685,20,12
1115466621890,1115525847702,1115571467118,20,12
1115471700294,1115546153082,1115576570999,20,12
1115476785835,1115515416313,1115581648114,20,12
1115483438489,1115551219608,1115586691352,20,12
1115488511630,1115530720335,1115591764488,20,12
1115495147442,1115502107179,1115596832105,20,12
1115500218843,1115566460355,1115601912024,20,12
1115505329120,1115576586007,1115606993611,20,12
1115510377091,1115566378120,1115612066870,20,12
1115515448068,1115530594989,1115617137069,20,12
1115520549801,1115571466705,1115622179552,20,12
1115525628585,1115540765266,1115627256090,20,12
1115530792126,1115571445179,1115632437169,20,12
1115535857748,1115581619231,1115637590784,20,12
1115540946557,1115547772111,1115642666865,20,12
1115546016096,1115602088694,1115647820727,20,12
