Sent,Received,Returned,Frames,Nodes
1142459431466,1142481232399,1142543264845,16,15
1142464532262,1142503574697,1142548378029,16,15
1142469600176,1142474723614,1142553445242,16,15
1142474665743,1142513731185,1142558557909,16,15
1142479730609,1142538168610,1142563962527,16,15
1142486656983,1142563653503,1142569027001,16,15
1142491724512,1142512778234,1142574087772,16,15
1142496844874,1142548419594,1142579256649,16,15
1142501907238,1142553467351,1142584355009,16,15
1142506975446,1142558586662,1142589437128,16,15
1142512040465,1142563731360,1142594691702,16,15
1142517106257,1142548403053,1142599755602,16,15
1142522177941,1142574077199,1142604823259,16,15
1142527263956,1142589459557,1142609868787,16,15
1142532356679,1142589511728,1142615008281,16,15
1142537464672,1142615142569,1142620213180,16,15
