Sent,Received,Returned,Frames,Nodes
1062879615239,1062889974131,1062999270799,21,3
1062884775611,1062895146548,1063004371728,21,3
1062889940907,1062895117308,1063009479088,21,3
1062895195756,1062905439801,1063014568397,21,3
1062900355178,1062910578581,1063019674334,21,3
1062905497684,1062910617647,1063024778521,21,3
1062910667712,1062915824438,1063029871812,21,3
1062915788981,1062926251630,1063034988399,21,3
1062920944247,1062926171138,1063040086501,21,3
1062926113045,1062931280335,1063045246378,21,3
1062931254836,1062941603960,1063050313855,21,3
1062936374243,1062952283375,1063055466990,21,3
1062941512312,1062957415158,1063060558433,21,3
1062952328526,1062967289942,1063065665102,21,3
1062962208005,1062972539549,1063070765026,21,3
1062968689835,1062978875281,1063075864069,21,3
1062973781803,1062978869943,1063080965853,21,3
1062978879229,1062983969480,1063086066195,21,3
1062983987895,1062994169575,1063091167075,21,3
1062989057452,1062999253395,1063096266337,21,3
1062994180972,1062999262506,1063101367109,21,3
