Sent,Received,Returned,Frames,Nodes
1198323253410,1198447473392,1198478073790,24,19
1198328364714,1198478062243,1198483139972,24,19
1198333456920,1198462750293,1198488202119,24,19
1198338525387,1198443813501,1198493266473,24,19
1198343592117,1198467759437,1198498520979,24,19
1198348653692,1198472827121,1198503581565,24,19
1198353713400,1198493234458,1198508730063,24,19
1198358776046,1198493222905,1198513880262,24,19
1198363837944,1198464062718,1198519217852,24,19
1198368914166,1198474192040,1198524447089,24,19
1198373976260,1198525200531,1198530314939,24,19
1198379040672,1198456204972,1198535438838,24,19
1198384105634,1198520126616,1198540522713,24,19
1198389167360,1198489502263,1198545756714,24,19
1198394230783,1198399832062,1198550981538,24,19
1198399291229,1198523989481,1198556201187,24,19
1198404355976,1198529079779,1198561307279,24,19
1198409420413,1198434574194,1198566390557,24,19
1198414481178,1198550959834,1198571595795,24,19
1198419549220,1198461172659,1198576690258,24,19
1198424620005,1198516000576,1198581908530,24,19
1198429690579,1198454906093,1198587086869,24,19
1198434760763,1198440337870,1198592191001,24,19
1198439836089,1198545696874,1198597480340,24,19
